"season","lg","team","abbreviation","playoffs","champions","age","w","l","pw","pl","mov","sos","srs","o_rtg","d_rtg","n_rtg","pace","f_tr","x3p_ar","ts_percent","e_fg_percent","tov_percent","orb_percent","ft_fga","opp_e_fg_percent","opp_tov_percent","drb_percent","opp_ft_fga"
1983,"NBA","Philadelphia 76ers","PHI",1,1,26.7,65,17,60,22,7.67,-0.14,7.53,108.3,100.9,7.4,102.7,0.367,0.015,0.549,0.501,16.3,37.1,0.273,0.464,15.8,66.2,0.217
1982,"NBA","Los Angeles Lakers","LAL",1,1,26.8,57,25,53,29,4.87,-0.5,4.37,110.2,105.5,4.7,103.1,0.285,0.012,0.551,0.518,14.7,35.8,0.204,0.493,14.8,66.3,0.187
1981,"NBA","Boston Celtics","BOS",1,1,27,62,20,56,26,5.88,0.17,6.05,108.4,102.6,5.8,100.8,0.334,0.034,0.553,0.509,16.2,34.7,0.251,0.464,15.1,67,0.24
1980,"NBA","Los Angeles Lakers","LAL",1,1,26.2,60,22,55,27,5.9,-0.51,5.4,109.5,103.9,5.6,104.1,0.284,0.014,0.569,0.53,16.5,32.6,0.22,0.475,14,66.9,0.181
1979,"NBA","Seattle SuperSonics","SEA",1,1,26.8,52,30,48,34,2.72,-0.03,2.69,102.7,100.1,2.6,103.4,0.307,0,0.514,0.468,15.7,34.8,0.231,0.463,15,69.1,0.209
1978,"NBA","Washington Bullets","WSB",1,1,27.4,44,38,43,39,0.93,-0.1,0.82,101.3,100.5,0.8,108.1,0.342,0,0.506,0.461,15.3,33.5,0.243,0.467,13.9,70.7,0.178
1977,"NBA","Portland Trail Blazers","POR",1,1,24.5,49,33,55,27,5.59,-0.2,5.39,103.2,98,5.2,108,0.334,0,0.53,0.481,16.9,33.4,0.254,0.46,17.2,69.3,0.255
1976,"NBA","Boston Celtics","BOS",1,1,29,54,28,47,35,2.34,-0.1,2.25,98.9,96.7,2.2,106.9,0.268,0,0.493,0.446,15.4,34,0.209,0.449,14.1,74.1,0.198
1975,"NBA","Golden State Warriors","GSW",1,1,25.8,48,34,50,32,3.29,-0.43,2.86,100.4,97.3,3.1,107.6,0.24,0,0.504,0.465,16.3,34.8,0.184,0.456,16,70.7,0.218
1974,"NBA","Boston Celtics","BOS",1,1,28.5,56,26,51,31,3.91,-0.49,3.42,98.6,95.1,3.5,110,0.263,0,0.503,0.456,16.8,34.6,0.21,0.443,15.2,73.1,0.186
1973,"NBA","New York Knicks","NYK",1,1,28.7,57,25,59,23,6.79,-0.72,6.07,98.9,92.5,6.4,105.9,0.224,0,0.505,0.467,13.7,0,0.175,0.435,16,0,0.195
1972,"NBA","Los Angeles Lakers","LAL",1,1,29.5,69,13,67,15,12.28,-0.63,11.65,103.1,92.6,10.5,116.9,0.354,0,0.537,0.49,14.8,0,0.26,0.432,13.9,0,0.177
