season,award,player_id
2001,nba mvp,iversal01
2001,nba roy,millemi01
2001,nba smoy,mckieaa01
2000,nba dpoy,mournal01
2000,nba mip,roseja01
2000,nba mvp,onealsh01
2000,nba roy,brandel01
2000,nba roy,francst01
2000,nba smoy,rogerro01
1999,nba dpoy,mournal01
1999,nba mip,armstda01
1999,nba mvp,malonka01
1999,nba roy,cartevi01
1999,nba smoy,armstda01
1998,nba dpoy,mutomdi01
1998,nba mip,hendeal01
1998,nba mvp,jordami01
1998,nba roy,duncati01
1998,nba smoy,mannida01
1997,nba dpoy,mutomdi01
1997,nba mip,austiis01
1997,nba mvp,malonka01
1997,nba roy,iversal01
1997,nba smoy,starkjo01
1996,nba dpoy,paytoga01
1996,nba mip,muresgh01
1996,nba mvp,jordami01
1996,nba roy,stoudda01
1996,nba smoy,kukocto01
1995,nba dpoy,mutomdi01
1995,nba mip,barroda01
1995,nba mvp,robinda01
1995,nba roy,hillgr01
1995,nba roy,kiddja01
1995,nba smoy,masonan01
1994,nba dpoy,olajuha01
1994,nba mip,macledo01
1994,nba mvp,olajuha01
1994,nba roy,webbech01
1994,nba smoy,curryde01
1993,nba dpoy,olajuha01
1993,nba mip,abdulma02
1993,nba mvp,barklch01
1993,nba roy,onealsh01
1993,nba smoy,robincl02
1992,nba dpoy,robinda01
1992,nba mip,ellispe01
1992,nba mvp,jordami01
1992,nba roy,johnsla02
1992,nba smoy,schrede01
1991,nba dpoy,rodmade01
1991,nba mip,skilesc01
1991,nba mvp,jordami01
1991,nba roy,colemde01
1991,nba smoy,schrede01
1990,nba dpoy,rodmade01
1990,nba mip,seikaro01
1990,nba mvp,johnsma02
1990,nba roy,robinda01
1990,nba smoy,piercri01
1989,nba dpoy,eatonma01
1989,nba mip,johnske02
1989,nba mvp,johnsma02
1989,nba roy,richmmi01
1989,nba smoy,johnsed03
1988,nba dpoy,jordami01
1988,nba mip,duckwke01
1988,nba mvp,jordami01
1988,nba roy,jacksma01
1988,nba smoy,tarplro01
1987,nba dpoy,coopemi01
1987,nba mip,ellisda01
1987,nba mvp,johnsma02
1987,nba roy,persoch01
1987,nba smoy,piercri01
1986,nba dpoy,roberal01
1986,nba mip,roberal01
1986,nba mvp,birdla01
1986,nba roy,ewingpa01
1986,nba smoy,waltobi01
1985,nba dpoy,eatonma01
1985,nba mvp,birdla01
1985,nba roy,jordami01
1985,nba smoy,mchalke01
1984,nba dpoy,moncrsi01
1984,nba mvp,birdla01
1984,nba roy,sampsra01
1984,nba smoy,mchalke01
1983,nba dpoy,moncrsi01
1983,nba mvp,malonmo01
1983,nba roy,cummite01
1983,nba smoy,
1982,nba mvp,malonmo01
1982,nba roy,willibu01
1981,nba mvp,ervinju01
1981,nba roy,griffda01
1980,nba mvp,abdulka01
1980,nba roy,birdla01
1979,nba mvp,malonmo01
1979,nba roy,fordph01
1978,nba mvp,waltobi01
1978,nba roy,daviswa03
1977,nba mvp,abdulka01
1977,nba roy,dantlad01
1976,aba mvp,ervinju01
1976,aba roy,thompda01
1976,nba mvp,abdulka01
1976,nba roy,adamsal01
1975,aba mvp,ervinju01
1975,aba mvp,mcginge01
1975,aba roy,barnema01
1975,nba mvp,mcadobo01
1975,nba roy,wilkeja01
1974,aba mvp,ervinju01
1974,aba roy,natersw01
1974,nba mvp,abdulka01
1974,nba roy,digreer01
1973,aba mvp,cunnibi01
1973,aba roy,taylobr01
1973,nba mvp,cowenda01
1973,nba roy,mcadobo01
1972,aba mvp,gilmoar01
1972,aba roy,gilmoar01
1972,nba mvp,abdulka01
1972,nba roy,wickssi01
1971,aba mvp,danieme01
1971,aba roy,isselda01
1971,aba roy,scottch01
1971,nba mvp,abdulka01
1971,nba roy,cowenda01
1971,nba roy,petrige01
1970,aba mvp,haywosp01
1970,aba roy,haywosp01
1970,nba mvp,reedwi01
1970,nba roy,abdulka01
1969,aba mvp,danieme01
1969,aba roy,jabalwa01
1969,nba mvp,unselwe01
1969,nba roy,unselwe01
1968,aba mvp,hawkico01
1968,aba roy,danieme01
1968,nba mvp,chambwi01
1968,nba roy,monroea01
1967,nba mvp,chambwi01
1967,nba roy,bingda01
1966,nba mvp,chambwi01
1966,nba roy,barryri01
1965,nba mvp,russebi01
1965,nba roy,reedwi01
1964,nba mvp,roberos01
1964,nba roy,lucasje01
1963,nba mvp,russebi01
1963,nba roy,dischte01
1962,nba mvp,russebi01
1962,nba roy,bellawa01
1961,nba mvp,russebi01
1961,nba roy,roberos01
1960,nba mvp,chambwi01
1960,nba roy,chambwi01
1959,nba mvp,pettibo01
1959,nba roy,bayloel01
1958,nba mvp,russebi01
1958,nba roy,sauldwo01
1957,nba mvp,cousybo01
1957,nba roy,heinsto01
1956,nba mvp,pettibo01
1956,nba roy,stokema01
1955,nba roy,pettibo01
1954,nba roy,felixra01
1953,nba roy,meinemo01
1952,nba roy,hutchme01
1952,nba roy,toshebi01
1951,nba roy,arizipa01
1950,nba roy,grozaal01
1949,baa roy,shannho01
1948,baa roy,hoffmpa01
